long,lat,nro_registro,tipo_activ,comuna,manzana,calle_nombre,calle_altura,calle_chapa,direccion_normalizada,ubicacion,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4244071713735,-34.573124847367,59620,Lineal,14,NA,Bullrich Intendente Av.,500.0,55,"BULLRICH, INT. AV. 55",LD,Tipuana tipu,16,Ocupada,Regular,A nivel,53,14
-58.4244071713735,-34.573124847367,59621,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LD,Tipuana tipu,16,Ocupada,Regular,A nivel,42,14
-58.4244071713735,-34.573124847367,59622,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LD,Tipuana tipu,16,Ocupada,Regular,A nivel,50,14
-58.4244071713735,-34.573124847367,59623,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LD,Tipuana tipu,16,Ocupada,Regular,A nivel,55,14
-58.4244071713735,-34.573124847367,59624,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",Exacta,Tipuana tipu,16,Ocupada,Regular,A nivel,75,14
-58.4244071713735,-34.573124847367,59625,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LD,Tipuana tipu,16,Ocupada,Regular,A nivel,60,14
-58.4244071713735,-34.573124847367,59626,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LD,Tipuana tipu,16,Ocupada,Regular,A nivel,48,14
-58.4244071713735,-34.573124847367,59627,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LD,Tipuana tipu,16,Ocupada,Regular,A nivel,51,14
-58.4244071713735,-34.573124847367,59628,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LD,Tipuana tipu,16,Ocupada,Regular,A nivel,44,14
-58.4244071713735,-34.573124847367,59629,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LD,Tipuana tipu,16,Ocupada,Regular,A nivel,53,14
-58.4244071713735,-34.573124847367,59630,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LA,Tipuana tipu,16,Ocupada,Regular,A nivel,14,6
-58.4244071713735,-34.573124847367,59631,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LD,Tipuana tipu,16,Ocupada,Regular,A nivel,48,14
-58.4244071713735,-34.573124847367,59632,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LD,Tipuana tipu,16,Ocupada,Regular,A nivel,53,12
-58.4244071713735,-34.573124847367,59634,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LA,Tipuana tipu,16,Ocupada,Regular,A nivel,29,9
-58.4244071713735,-34.573124847367,59636,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LA,Tipuana tipu,16,Ocupada,Ochava,A nivel,10,3
-58.4244071713735,-34.573124847367,59640,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LD,Tipuana tipu,16,Ocupada,Regular,A nivel,58,14
-58.4244071713735,-34.573124847367,59641,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LA,Tipuana tipu,16,Ocupada,Regular,A nivel,25,12
-58.4244071713735,-34.573124847367,59642,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LD,Tipuana tipu,16,Ocupada,Regular,A nivel,60,14
-58.4244071713735,-34.573124847367,59644,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LD,Tipuana tipu,16,Ocupada,Regular,A nivel,62,14
-58.4244071713735,-34.573124847367,59645,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LD,Tipuana tipu,16,Ocupada,Regular,A nivel,54,14
-58.4244071713735,-34.573124847367,59646,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LD,Tipuana tipu,16,Ocupada,Regular,A nivel,54,12
-58.4244071713735,-34.573124847367,59647,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LD,Tipuana tipu,16,Ocupada,Regular,A nivel,45,14
-58.4244071713735,-34.573124847367,59657,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LA,Tipuana tipu,16,Ocupada,Regular,A nivel,61,14
-58.4244071713735,-34.573124847367,59658,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LA,Tipuana tipu,16,Ocupada,Regular,A nivel,47,14
-58.4244071713735,-34.573124847367,59659,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LA,Tipuana tipu,16,Ocupada,Regular,A nivel,16,6
-58.4244071713735,-34.573124847367,59660,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LA,Tipuana tipu,16,Ocupada,Regular,A nivel,17,6
-58.4244071713735,-34.573124847367,59661,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LA,Tipuana tipu,16,Ocupada,Regular,A nivel,18,6
-58.4244071713735,-34.573124847367,59662,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LD,Tipuana tipu,16,Ocupada,Regular,A nivel,52,14
-58.4244071713735,-34.573124847367,59663,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LD,Tipuana tipu,16,Ocupada,Regular,A nivel,54,14
-58.4244071713735,-34.573124847367,59664,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LA,Tipuana tipu,16,Ocupada,Regular,A nivel,48,14
-58.4244071713735,-34.573124847367,59665,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LA,Tipuana tipu,16,Ocupada,Regular,A nivel,17,6
-58.4244071713735,-34.573124847367,59666,Lineal,14,NA,Bullrich Intendente Av.,NA,55,"BULLRICH, INT. AV. 55",LA,Tipuana tipu,16,Ocupada,Regular,A nivel,15,6
-58.4244071713735,-34.573124847367,59667,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LA,Tipuana tipu,16,Ocupada,Regular,A nivel,12,6
-58.4244071713735,-34.573124847367,59668,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LA,Tipuana tipu,16,Ocupada,Regular,A nivel,20,8
-58.4244071713735,-34.573124847367,59669,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LA,Tipuana tipu,16,Ocupada,Regular,A nivel,53,12
-58.4244071713735,-34.573124847367,59670,Lineal,14,NA,Bullrich Intendente Av.,0.0,55,"BULLRICH, INT. AV. 55",LA,Tipuana tipu,16,Ocupada,Regular,A nivel,16,6
-58.4261669146301,-34.5735656872219,63806,Lineal,14,NA,Cerviño Av.,4800.0,4851,CERVIÑO AV. 4851,LD,Fraxinus pennsylvanica,5,Ocupada,Regular,A nivel,35,15
-58.4261669146301,-34.5735656872219,63807,Lineal,14,NA,Cerviño Av.,4800.0,4851,CERVIÑO AV. 4851,LD,Fraxinus pennsylvanica,5,Ocupada,Regular,A nivel,37,15
-58.4261669146301,-34.5735656872219,63808,Lineal,14,NA,Cerviño Av.,4800.0,4851,CERVIÑO AV. 4851,LD,Liquidambar styraciflua,5,Ocupada,Regular,A nivel,12,5
-58.4261669146301,-34.5735656872219,63810,Lineal,14,NA,Cerviño Av.,4800.0,4851,CERVIÑO AV. 4851,LD,Fraxinus pennsylvanica,5,Ocupada,Regular,A nivel,3,3
-58.4261669146301,-34.5735656872219,63811,Lineal,14,NA,Cerviño Av.,4800.0,4851,CERVIÑO AV. 4851,LD,Liquidambar styraciflua,5,Ocupada,Regular,A nivel,1,3
-58.4261669146301,-34.5735656872219,63812,Lineal,14,NA,Cerviño Av.,4800.0,4851,CERVIÑO AV. 4851,LD,Liquidambar styraciflua,5,Ocupada,Regular,A nivel,12,5
-58.4261669146301,-34.5735656872219,63814,Lineal,14,NA,Cerviño Av.,4800.0,4851,CERVIÑO AV. 4851,LD,Liquidambar styraciflua,5,Ocupada,Regular,A nivel,1,3
-58.4261669146301,-34.5735656872219,63815,Lineal,14,NA,Cerviño Av.,4800.0,4851,CERVIÑO AV. 4851,LD,Liquidambar styraciflua,5,Ocupada,Regular,A nivel,1,2
-58.4261669146301,-34.5735656872219,63816,Lineal,14,NA,Cerviño Av.,4800.0,4851,CERVIÑO AV. 4851,LD,Liquidambar styraciflua,5,Ocupada,Regular,A nivel,1,2
-58.4261669146301,-34.5735656872219,63817,Lineal,14,NA,Cerviño Av.,4800.0,4851,CERVIÑO AV. 4851,LD,Liquidambar styraciflua,5,Ocupada,Regular,A nivel,2,3
-58.4261669146301,-34.5735656872219,63818,Lineal,14,NA,Cerviño Av.,4800.0,4851,CERVIÑO AV. 4851,LD,Liquidambar styraciflua,5,Ocupada,Regular,A nivel,1,2
-58.4261669146301,-34.5735656872219,63825,Lineal,14,NA,Cerviño Av.,4800.0,4851,CERVIÑO AV. 4851,LA,Liquidambar styraciflua,5,Ocupada,Regular,A nivel,20,5
-58.4261669146301,-34.5735656872219,63826,Lineal,14,NA,Cerviño Av.,4800.0,4851,CERVIÑO AV. 4851,LA,Liquidambar styraciflua,5,Ocupada,Regular,A nivel,17,6
-58.4261669146301,-34.5735656872219,63827,Lineal,14,NA,Cerviño Av.,4800.0,4851,CERVIÑO AV. 4851,LD,Liquidambar styraciflua,5,Ocupada,Regular,A nivel,18,8
-58.4261669146301,-34.5735656872219,63828,Lineal,14,NA,Cerviño Av.,4800.0,4851,CERVIÑO AV. 4851,LA,Liquidambar styraciflua,5,Ocupada,Regular,A nivel,8,4
