year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,9,1,9,2359,10,343,340,3,B6,839,N663JB,JFK,BQN,196,1576,23,59,2013-09-02T03:00:00Z
2013,9,1,117,2245,152,218,2359,139,B6,1816,N216JB,JFK,SYR,44,209,22,45,2013-09-02T02:00:00Z
2013,9,1,508,516,-8,717,800,-43,UA,1545,N57869,EWR,IAH,170,1400,5,16,2013-09-01T09:00:00Z
2013,9,1,537,545,-8,849,855,-6,AA,701,N613AA,JFK,MIA,148,1089,5,45,2013-09-01T09:00:00Z
2013,9,1,537,545,-8,906,921,-15,B6,939,N658JB,JFK,BQN,191,1576,5,45,2013-09-01T09:00:00Z
2013,9,1,549,600,-11,815,850,-35,UA,1115,N27213,EWR,TPA,133,997,6,0,2013-09-01T10:00:00Z
2013,9,1,552,600,-8,843,905,-22,AA,1895,N3KFAA,LGA,MIA,149,1096,6,0,2013-09-01T10:00:00Z
2013,9,1,553,600,-7,809,834,-25,B6,27,N784JB,EWR,MCO,117,937,6,0,2013-09-01T10:00:00Z
2013,9,1,554,600,-6,700,716,-16,EV,6167,N14180,LGA,IAD,39,229,6,0,2013-09-01T10:00:00Z
2013,9,1,554,600,-6,803,823,-20,DL,461,N909DE,LGA,ATL,105,762,6,0,2013-09-01T10:00:00Z
2013,9,1,554,600,-6,657,715,-18,MQ,3267,N516MQ,EWR,ORD,104,719,6,0,2013-09-01T10:00:00Z
2013,9,1,555,600,-5,835,851,-16,B6,371,N639JB,LGA,FLL,139,1076,6,0,2013-09-01T10:00:00Z
2013,9,1,557,600,-3,706,716,-10,EV,5716,N909EV,JFK,IAD,43,228,6,0,2013-09-01T10:00:00Z
2013,9,1,557,600,-3,718,740,-22,WN,726,N553WN,LGA,STL,125,888,6,0,2013-09-01T10:00:00Z
2013,9,1,600,600,0,803,815,-12,FL,347,N309AT,LGA,ATL,105,762,6,0,2013-09-01T10:00:00Z
2013,9,1,600,610,-10,824,855,-31,AA,705,N3JTAA,LGA,DFW,185,1389,6,10,2013-09-01T10:00:00Z
2013,9,1,600,600,0,740,752,-12,DL,731,N353NW,LGA,DTW,79,502,6,0,2013-09-01T10:00:00Z
2013,9,1,602,605,-3,853,855,-2,B6,601,N590JB,JFK,FLL,141,1069,6,5,2013-09-01T10:00:00Z
2013,9,1,604,605,-1,823,839,-16,B6,583,N531JB,JFK,MCO,121,944,6,5,2013-09-01T10:00:00Z
2013,9,1,605,610,-5,747,806,-19,DL,1919,N320US,LGA,MSP,142,1020,6,10,2013-09-01T10:00:00Z
2013,9,1,614,611,3,951,954,-3,B6,1403,N793JB,JFK,SJU,197,1598,6,11,2013-09-01T10:00:00Z
2013,9,1,617,620,-3,829,840,-11,DL,1743,N979DL,JFK,ATL,105,760,6,20,2013-09-01T10:00:00Z
2013,9,1,619,623,-4,713,737,-24,EV,6177,N14974,EWR,IAD,39,212,6,23,2013-09-01T10:00:00Z
2013,9,1,619,629,-10,900,929,-29,AA,1921,N3CTAA,EWR,MIA,140,1085,6,29,2013-09-01T10:00:00Z
2013,9,1,621,630,-9,903,924,-21,B6,929,N517JB,JFK,RSW,146,1074,6,30,2013-09-01T10:00:00Z
2013,9,1,622,630,-8,732,805,-33,AA,303,N4XCAA,LGA,ORD,104,733,6,30,2013-09-01T10:00:00Z
2013,9,1,625,629,-4,751,804,-13,EV,4348,N41104,EWR,CLE,61,404,6,29,2013-09-01T10:00:00Z
2013,9,1,625,629,-4,944,951,-7,UA,1287,N37298,EWR,SFO,358,2565,6,29,2013-09-01T10:00:00Z
2013,9,1,626,630,-4,842,904,-22,B6,1099,N591JB,LGA,MCO,120,950,6,30,2013-09-01T10:00:00Z
2013,9,1,627,630,-3,733,747,-14,B6,2802,N346JB,JFK,BUF,54,301,6,30,2013-09-01T10:00:00Z
2013,9,1,628,630,-2,837,847,-10,B6,211,N651JB,JFK,LAS,288,2248,6,30,2013-09-01T10:00:00Z
2013,9,1,628,630,-2,832,844,-12,DL,575,N336NB,EWR,ATL,108,746,6,30,2013-09-01T10:00:00Z
2013,9,1,635,641,-6,741,810,-29,UA,1262,N36272,EWR,ORD,109,719,6,41,2013-09-01T10:00:00Z
2013,9,1,638,625,13,740,740,0,WN,1708,N237WN,LGA,MDW,109,725,6,25,2013-09-01T10:00:00Z
2013,9,1,639,645,-6,852,908,-16,US,623,N547UW,JFK,PHX,270,2153,6,45,2013-09-01T10:00:00Z
2013,9,1,640,629,11,820,812,8,EV,4334,N13978,EWR,CMH,71,463,6,29,2013-09-01T10:00:00Z
2013,9,1,644,645,-1,749,752,-3,B6,318,N317JB,JFK,BOS,43,187,6,45,2013-09-01T10:00:00Z
2013,9,1,644,650,-6,916,931,-15,B6,525,N665JB,JFK,TPA,132,1005,6,50,2013-09-01T10:00:00Z
2013,9,1,648,647,1,754,809,-15,B6,905,N586JB,JFK,ORD,108,740,6,47,2013-09-01T10:00:00Z
2013,9,1,649,655,-6,909,920,-11,AA,1949,N5EMAA,JFK,LAS,295,2248,6,55,2013-09-01T10:00:00Z
2013,9,1,653,659,-6,920,942,-22,B6,453,N794JB,JFK,PBI,130,1028,6,59,2013-09-01T10:00:00Z
2013,9,1,655,655,0,1026,1057,-31,DL,315,N674DL,JFK,SJU,191,1598,6,55,2013-09-01T10:00:00Z
2013,9,1,655,700,-5,958,1004,-6,DL,1415,N635DL,JFK,SLC,270,1990,7,0,2013-09-01T11:00:00Z
2013,9,1,657,700,-3,915,951,-36,B6,23,N564JB,JFK,LAX,298,2475,7,0,2013-09-01T11:00:00Z
2013,9,1,701,659,2,933,1001,-28,UA,997,N826UA,EWR,LAX,314,2454,6,59,2013-09-01T10:00:00Z
2013,9,1,703,705,-2,829,840,-11,WN,367,N791SW,EWR,STL,125,872,7,5,2013-09-01T11:00:00Z
2013,9,1,704,710,-6,810,845,-35,AA,305,N575AA,LGA,ORD,109,733,7,10,2013-09-01T11:00:00Z
2013,9,1,705,710,-5,951,1025,-34,AA,1165,N338AA,JFK,MIA,143,1089,7,10,2013-09-01T11:00:00Z
2013,9,1,705,715,-10,923,1000,-37,UA,559,N405UA,LGA,IAH,181,1416,7,15,2013-09-01T11:00:00Z
2013,9,1,709,714,-5,920,1001,-41,UA,540,N427UA,EWR,MCO,117,937,7,14,2013-09-01T11:00:00Z
2013,9,1,710,710,0,936,1000,-24,AA,1777,N622AA,JFK,MCO,122,944,7,10,2013-09-01T11:00:00Z
2013,9,1,710,715,-5,824,827,-3,UA,994,N815UA,EWR,BOS,46,200,7,15,2013-09-01T11:00:00Z
2013,9,1,712,715,-3,943,1010,-27,VX,399,N623VA,JFK,LAX,315,2475,7,15,2013-09-01T11:00:00Z
2013,9,1,714,720,-6,955,1025,-30,AS,15,N309AS,EWR,SEA,325,2402,7,20,2013-09-01T11:00:00Z
2013,9,1,718,720,-2,826,845,-19,WN,4728,N725SW,EWR,BNA,110,748,7,20,2013-09-01T11:00:00Z
2013,9,1,719,725,-6,1047,1047,0,UA,1205,N37427,EWR,SFO,352,2565,7,25,2013-09-01T11:00:00Z
2013,9,1,720,725,-5,951,1015,-24,AA,1629,N4XSAA,EWR,DFW,184,1372,7,25,2013-09-01T11:00:00Z
2013,9,1,722,729,-7,910,954,-44,EV,4304,N21154,EWR,MSY,147,1167,7,29,2013-09-01T11:00:00Z
2013,9,1,722,730,-8,825,902,-37,UA,331,N534UA,LGA,ORD,106,733,7,30,2013-09-01T11:00:00Z
2013,9,1,725,729,-4,955,1019,-24,B6,461,N657JB,LGA,PBI,131,1035,7,29,2013-09-01T11:00:00Z
2013,9,1,725,730,-5,1021,1032,-11,DL,1771,N702TW,JFK,SEA,333,2422,7,30,2013-09-01T11:00:00Z
2013,9,1,727,735,-8,1017,1035,-18,AA,1713,N3KGAA,LGA,MIA,147,1096,7,35,2013-09-01T11:00:00Z
2013,9,1,727,729,-2,930,958,-28,UA,453,N430UA,EWR,DEN,224,1605,7,29,2013-09-01T11:00:00Z
2013,9,1,729,730,-1,953,1010,-17,B6,683,N583JB,JFK,MCO,125,944,7,30,2013-09-01T11:00:00Z
2013,9,1,731,729,2,1129,1120,9,B6,3,N603JB,JFK,SJU,204,1598,7,29,2013-09-01T11:00:00Z
2013,9,1,731,740,-9,1036,1055,-19,VX,11,N837VA,JFK,SFO,346,2586,7,40,2013-09-01T11:00:00Z
2013,9,1,734,741,-7,855,910,-15,UA,1149,N78438,EWR,ORD,104,719,7,41,2013-09-01T11:00:00Z
2013,9,1,735,740,-5,843,855,-12,WN,744,N7738A,EWR,MDW,106,711,7,40,2013-09-01T11:00:00Z
2013,9,1,735,744,-9,1000,1048,-48,UA,1455,N28478,EWR,LAX,308,2454,7,44,2013-09-01T11:00:00Z
2013,9,1,736,740,-4,954,1024,-30,UA,1591,N73276,EWR,IAH,178,1400,7,40,2013-09-01T11:00:00Z
2013,9,1,737,740,-3,1037,1055,-18,AA,59,N319AA,JFK,SFO,343,2586,7,40,2013-09-01T11:00:00Z
2013,9,1,738,742,-4,842,857,-15,B6,8,N348JB,JFK,PWM,51,273,7,42,2013-09-01T11:00:00Z
2013,9,1,740,745,-5,924,939,-15,B6,1273,N192JB,JFK,CHS,87,636,7,45,2013-09-01T11:00:00Z
2013,9,1,745,745,0,928,1000,-32,9E,3353,N927XJ,JFK,DTW,84,509,7,45,2013-09-01T11:00:00Z
2013,9,1,745,752,-7,853,913,-20,B6,2702,N249JB,JFK,BUF,54,301,7,52,2013-09-01T11:00:00Z
2013,9,1,746,749,-3,1040,1040,0,B6,1717,N789JB,LGA,TPA,135,1010,7,49,2013-09-01T11:00:00Z
2013,9,1,746,755,-9,1006,1017,-11,UA,561,N576UA,LGA,DEN,230,1620,7,55,2013-09-01T11:00:00Z
2013,9,1,747,753,-6,927,951,-24,US,1733,N566UW,LGA,CLT,80,544,7,53,2013-09-01T11:00:00Z
2013,9,1,750,750,0,1030,1040,-10,MQ,3052,N503MQ,JFK,TPA,131,1005,7,50,2013-09-01T11:00:00Z
2013,9,1,751,759,-8,1022,1049,-27,AA,709,N3BLAA,LGA,DFW,190,1389,7,59,2013-09-01T11:00:00Z
2013,9,1,751,800,-9,1035,1104,-29,B6,1511,N612JB,EWR,RSW,146,1068,8,0,2013-09-01T12:00:00Z
2013,9,1,752,800,-8,1022,1100,-38,AA,33,N339AA,JFK,LAX,306,2475,8,0,2013-09-01T12:00:00Z
2013,9,1,752,755,-3,1037,1045,-8,WN,683,N8610A,LGA,HOU,185,1428,7,55,2013-09-01T11:00:00Z
2013,9,1,752,755,-3,920,935,-15,MQ,3363,N849MQ,JFK,RDU,69,427,7,55,2013-09-01T11:00:00Z
